Brinco,Data do Cio,Baia,Marca,Previsão de cio,Data de entrada,Idade no dia da previsão,Raça,Dia,Tatuagem,EBV_TSI,Correspondente,IT
52169,16/12/2023,18N,,06/01/2024,03/10/2023,256,TZZZZ - AVÓ,16,F2803,116,54784,186
52151,18/12/2023,18N,,08/01/2024,03/10/2023,255,TZZZZ - AVÓ,18,F2838,114,54672,184
51473,15/12/2023,18N,,05/01/2024,03/10/2023,254,TZZZZ - AVÓ,15,F2822,114,54794,184
51458,15/12/2023,18N,,05/01/2024,03/10/2023,253,TLLZZ - TN70,15,F2832,105,54790,179
51453,21/12/2023,16N,,11/01/2024,03/10/2023,252,TLLZZ - TN70,21,F2991,112,54884,182
52084,20/12/2023,1N,,10/01/2024,17/10/2023,252,TLLZZ - TN70,20,F2939,98,54852,175
51856,20/12/2023,14N,,10/01/2024,26/09/2023,252,TLLZZ - TN70,20,F2916,98,54757,175
52173,19/12/2023,18N,,09/01/2024,03/10/2023,251,TLLZZ - TN70,19,F2929,98,54831,174
52158,20/12/2023,9N,,10/01/2024,03/10/2023,251,TLLZZ - TN70,20,F3007,98,54889,174
51499,18/12/2023,6N,,08/01/2024,10/10/2023,250,TLLZZ - TN70,18,F2972,98,54868,174
52159,19/12/2023,18N,,09/01/2024,03/10/2023,250,TLLZZ - TN70,19,F3006,98,54732,174
52430,20/12/2023,1N,,10/01/2024,17/10/2023,249,TLLZZ - TN70,20,F3027,112,54899,180
51854,18/12/2023,11N,,08/01/2024,26/09/2023,249,TLLZZ - TN70,18,F3002,98,54891,173
51479,20/12/2023,25V,,10/01/2024,10/10/2023,249,TLLZZ - TN70,20,F3030,98,54870,173
52439,16/12/2023,15N,,06/01/2024,17/10/2023,248,TLLZZ - TN70,16,F2958,121,54859,184
51500,20/12/2023,6N,,10/01/2024,10/10/2023,248,TLLZZ - TN70,20,F3075,110,54914,179
51487,15/12/2023,25V,,05/01/2024,10/10/2023,248,TLLZZ - TN70,15,F2902,98,54646,173
51979,15/12/2023,11N,,05/01/2024,10/10/2023,248,TLLZZ - TN70,15,F2903,98,54876,173
51918,16/12/2023,5V,,06/01/2024,31/10/2023,248,TLLZZ - TN70,16,F2969,98,59121,173
52082,16/12/2023,11N,,06/01/2024,17/10/2023,248,TLLZZ - TN70,16,F2952,98,54881,173
52098,21/12/2023,1N,,11/01/2024,17/10/2023,247,TLLZZ - TN70,21,F3207,106,55512,176
52152,15/12/2023,11N,,05/01/2024,03/10/2023,247,TLLZZ - TN70,15,F2915,98,54763,172
51498,18/12/2023,25V,,08/01/2024,10/10/2023,247,TLLZZ - TN70,18,F3033,98,53547,172
52443,19/12/2023,15N,,09/01/2024,17/10/2023,247,TLLZZ - TN70,19,F3110,98,54931,172
51476,20/12/2023,6N,,10/01/2024,10/10/2023,247,TLLZZ - TN70,20,F3142,98,54960,172
51495,20/12/2023,6N,,10/01/2024,10/10/2023,247,TLLZZ - TN70,20,F3128,98,54958,172
52096,20/12/2023,1N,,10/01/2024,17/10/2023,247,TLLZZ - TN70,20,F3152,98,54962,172
51491,21/12/2023,6N,,11/01/2024,10/10/2023,247,TLLZZ - TN70,21,F3187,98,55570,172
51484,18/12/2023,25V,,08/01/2024,10/10/2023,246,TLLZZ - TN70,18,F3070,110,54924,178
52155,15/12/2023,18N,,05/01/2024,03/10/2023,246,TLLZZ - TN70,15,F2982,98,54879,172
51457,15/12/2023,18N,,05/01/2024,03/10/2023,246,TLLZZ - TN70,15,F2983,98,54840,172
51465,16/12/2023,18N,,06/01/2024,03/10/2023,246,TLLZZ - TN70,16,F3014,98,54630,172
51978,19/12/2023,25V,,09/01/2024,10/10/2023,246,TLLZZ - TN70,19,F3129,98,54945,172
52079,19/12/2023,1N,,09/01/2024,17/10/2023,246,TLLZZ - TN70,19,F3124,98,54977,172
51415,20/12/2023,2V,,10/01/2024,24/10/2023,246,TLLZZ - TN70,20,F3169,98,54981,172
51413,19/12/2023,10N,,09/01/2024,24/10/2023,245,TLLZZ - TN70,19,F3205,106,55535,175
51657,19/12/2023,10N,,09/01/2024,24/10/2023,245,TLLZZ - TN70,19,F3176,98,55599,171
51496,16/12/2023,25V,,06/01/2024,10/10/2023,244,TLLZZ - TN70,16,F3071,110,54920,177
52426,19/12/2023,19N,,09/01/2024,17/10/2023,244,TLLZZ - TN70,19,F3249,105,55597,174
52089,16/12/2023,15N,,06/01/2024,17/10/2023,244,TLLZZ - TN70,16,F3103,98,54911,171
51488,17/12/2023,11N,,07/01/2024,10/10/2023,244,TLLZZ - TN70,17,F3134,98,54999,171
51412,17/12/2023,4N,,07/01/2024,24/10/2023,244,TLLZZ - TN70,17,F3115,98,54994,171
51976,18/12/2023,25V,,08/01/2024,10/10/2023,244,TLLZZ - TN70,18,F3168,98,54978,171
52432,19/12/2023,1N,,09/01/2024,17/10/2023,244,TLLZZ - TN70,19,F3214,98,55558,171
51419,19/12/2023,2V,,09/01/2024,24/10/2023,244,TLLZZ - TN70,19,F3222,98,55573,171
52090,19/12/2023,15N,,09/01/2024,17/10/2023,243,TLLZZ - TN70,19,F3254,112,55529,177
51497,15/12/2023,19N,,05/01/2024,10/10/2023,243,TLLZZ - TN70,15,F3086,108,54925,175
52437,18/12/2023,1N,,08/01/2024,17/10/2023,243,TLLZZ - TN70,18,F3247,105,55516,174
52213,15/12/2023,6V,,05/01/2024,31/10/2023,243,TLLZZ - TN70,15,F3068,98,59191,170
52431,15/12/2023,15N,,05/01/2024,17/10/2023,243,TLLZZ - TN70,15,F3066,98,54916,170
51480,16/12/2023,25V,,06/01/2024,10/10/2023,243,TLLZZ - TN70,16,F3145,98,54992,170
52436,16/12/2023,11N,,06/01/2024,17/10/2023,243,TLLZZ - TN70,16,F3136,98,54961,170
52225,16/12/2023,5V,,06/01/2024,31/10/2023,243,TLLZZ - TN70,16,F3112,98,59173,170
51966,16/12/2023,6V,,06/01/2024,31/10/2023,242,TLLZZ - TN70,16,F3208,106,59168,174
52092,15/12/2023,19N,,05/01/2024,17/10/2023,242,TLLZZ - TN70,15,F3116,98,54963,170
52217,16/12/2023,6V,,06/01/2024,31/10/2023,242,TLLZZ - TN70,16,F3166,98,59147,170
52076,18/12/2023,1N,,08/01/2024,17/10/2023,242,TLLZZ - TN70,18,F3280,98,55582,170
51664,21/12/2023,10N,,11/01/2024,24/10/2023,242,TLLZZ - TN70,21,F3323,98,55625,170
51421,20/12/2023,2V,,10/01/2024,24/10/2023,241,TLLZZ - TN70,20,F3312,118,55557,179
51963,15/12/2023,11V,,05/01/2024,31/10/2023,241,TLLZZ - TN70,15,F3193,98,59145,169
52095,15/12/2023,19N,,05/01/2024,17/10/2023,240,TLLZZ - TN70,15,F3215,98,55561,169
51422,19/12/2023,2V,,09/01/2024,24/10/2023,240,TLLZZ - TN70,19,F3350,98,55647,169
51904,21/12/2023,3V,,11/01/2024,31/10/2023,237,TLLZZ - TN70,21,F3413,119,59105,178
52091,16/12/2023,13N,,06/01/2024,17/10/2023,237,TLLZZ - TN70,16,F3318,118,55695,177
51919,20/12/2023,5V,,10/01/2024,31/10/2023,237,TLLZZ - TN70,20,F3395,118,59131,177
51424,21/12/2023,2V,,11/01/2024,24/10/2023,237,TLLZZ - TN70,21,F3404,113,55644,175
51959,16/12/2023,5V,,06/01/2024,31/10/2023,237,TLLZZ - TN70,16,F3347,98,59184,167
51668,16/12/2023,4N,,06/01/2024,24/10/2023,237,TLLZZ - TN70,16,F3349,98,55563,167
51663,19/12/2023,2V,,09/01/2024,24/10/2023,237,TLLZZ - TN70,19,F3382,98,55771,167
51660,17/12/2023,4N,,07/01/2024,24/10/2023,235,TLLZZ - TN70,17,F3381,98,55744,166
